Year,Service used,Percent,Count
2020,Free meals,58%,6816
2020,Bus passes,41%,4818
2020,Hygeine services,40%,4700
2020,Day shelter service,39%,4583
2020,Emergency shelter,39%,4583
2020,Mental health services,19%,2233
2020,Transitional housing,12%,1410
2020,Job training/employment services,12%,1410
2020,Not using any services,10%,1175
2020,Alcohol/drug counseling,9%,1058
2020,Legal Assistance,7%,823
2020,Other,4%,470
2020,Safe parking site,3%,353
2020,Immigration services,2%,235
2020,Sanctioned encampment,2%,235
