Year,Location type,Shelter type,Percent,Count
2020,Sheltered,Emergency shelter,35%,4085
2020,Sheltered,Transitional housing and safe haven,18%,2088
2020,Unsheltered,Outside,7%,805
2020,Unsheltered,Tent/unsanctioned encampment,10%,1207
2020,Unsheltered,Sanctioned encampment/village,1%,156
2020,Unsheltered,Building,6%,662
2020,Unsheltered,Vehicle,23%,2748
2019,Sheltered,Emergency shelter,36%,4065
2019,Sheltered,Transitional housing and safe haven,17%,1906
2019,Unsheltered,Outside,13%,1504
2019,Unsheltered,Tent/unsanctioned encampment,11%,1276
2019,Unsheltered,Sanctioned encampment/village,1%,161
2019,Unsheltered,Building,1%,140
2019,Unsheltered,Vehicle,19%,2147
2018,Sheltered,Emergency shelter,30%,3585
2018,Sheltered,Transitional housing and safe haven,18%,2207
2018,Unsheltered,Outside,12%,1465
2018,Unsheltered,Tent/unsanctioned encampment,8%,967
2018,Unsheltered,Sanctioned encampment/village,3%,370
2018,Unsheltered,Building,1%,146
2018,Unsheltered,Vehicle,28%,3372
2017,Sheltered,Emergency shelter,30%,3491
2017,Sheltered,Transitional housing and safe haven,23%,2667
2017,Unsheltered,Outside,13%,1486
2017,Unsheltered,Tent/unsanctioned encampment,13%,1547
2017,Unsheltered,Sanctioned encampment/village,na,na
2017,Unsheltered,Building,1%,138
2017,Unsheltered,Vehicle,20%,2314
2016,Sheltered,Emergency shelter,30%,3200
2016,Sheltered,Transitional housing and safe haven,27%,2893
2016,Unsheltered,Outside,na,na
2016,Unsheltered,Tent/unsanctioned encampment,na,na
2016,Unsheltered,Sanctioned encampment/village,na,na
2016,Unsheltered,Building,na,na
2016,Unsheltered,Vehicle,na,na
2016,Unsheltered,All,42%,4505
2015,Sheltered,Emergency shelter,33%,3282
2015,Sheltered,Transitional housing and safe haven,30%,2993
2015,Unsheltered,Outside,na,na
2015,Unsheltered,Tent/unsanctioned encampment,na,na
2015,Unsheltered,Sanctioned encampment/village,na,na
2015,Unsheltered,Building,na,na
2015,Unsheltered,Vehicle,na,na
2015,Unsheltered,All,38%,3772
2014,Unsheltered,All,34%,3123
2014,Sheltered,Shelters,31%,2906
2014,Sheltered,Transitional housing,35%,3265
2013,Unsheltered,All,na,2736
2013,Sheltered,All,na,na
2012,Unsheltered,All,na,2594
2012,Sheltered,All,na,6236
2011,Unsheltered,All,na,na
2011,Sheltered,All,na,na
2010,Unsheltered,All,na,na
2010,Sheltered,All,na,na
2009,Unsheltered,All,na,na
2009,Sheltered,All,na,na
2008,Unsheltered,All,31%,2631
2008,Sheltered,All,69%,5808
2007,Unsheltered,All,28%,2159
2007,Sheltered,All,72%,5680
2006,Unsheltered,All,25%,1946
2006,Sheltered,All,75%,5964
2005,Unsheltered,All,na,na
2005,Sheltered,All,na,na
2004,Unsheltered,All,32%,2216
2004,Sheltered,All,68%,4636
2003,Unsheltered,All,29%,1899
2003,Sheltered,All,71%,4617
2002,Unsheltered,All,30%,2040
2002,Sheltered,All,70%,4675
2001,Unsheltered,All,24%,1454
2001,Sheltered,All,76%,4671
2000,Unsheltered,All,19%,1085
2000,Sheltered,All,81%,4500
1999,Unsheltered,All,20%,983
1999,Sheltered,All,80%,3965
1998,Unsheltered,All,18%,784
1998,Sheltered,All,82%,3543
