Year,Homeless population,King County population,Percent of population
2020,11751,,
2019,11199,2226300,0.50%
2018,12112,2190200,0.60%
2017,11643,2153700,0.50%
2016,10688,2105100,0.50%
2015,10047,2052800,0.50%
2014,9294,2017300,0.50%
2013,na,1981900,na
2012,na,1957000,na
2011,na,1942600,na
2010,na,1931200,na
2009,na,1909200,na
2008,8439,1891100,0.40%
2007,7839,1871100,0.40%
2006,7910,1845200,0.40%
2005,na,1815000,na
2004,6852,1800800,0.40%
2003,6516,1788100,0.40%
2002,6715,1777500,0.40%
2001,6125,1755500,0.30%
2000,5585,1737000,0.30%
1999,4948,,na
1998,4327,,na
